flujo_id,entidad,descripcion,estado_donde_aplica,slot,tipo_slot,obligatoria,estrategia_extraccion,validacion,si_falta_repregunta
Identificador del flujo,Dato puntual que el NLU intenta extraer del mensaje del usuario,Significado funcional de la entidad,Estado donde se necesita la entidad,Variable donde el bot guarda el valor para usarlo en pasos posteriores,Tipo de dato del slot (text float bool etc),Si es obligatoria para avanzar,Metodo de llenado del slot (from_entity from_text custom),Regla de validacion del valor,Texto de repregunta cuando la entidad no se obtiene
vinculacion_especial_docentes,tipo_docente,Clasificacion del docente segun tipologia institucional,explicar_tipo_docente,slot_tipo_docente_actual,text,Si,from_entity,Debe ser HCP HCH MTO o TCO,Indica el tipo de docente (HCP/HCH/MTO/TCO)
vinculacion_especial_docentes,nivel,Identifica si la necesidad es pregrado o posgrado,explicar_reporte_necesidades,slot_nivel_requerido,text,Si,from_entity,Debe ser pregrado o posgrado,Para que nivel es la solicitud (pregrado/posgrado)
vinculacion_especial_docentes,numero_docentes,Cantidad requerida para el semestre,explicar_reporte_necesidades,slot_cantidad_docentes,float,Si,from_entity,Debe ser numero positivo,Cuantos docentes se requieren?
vinculacion_especial_docentes,presupuesto,Valor presupuestal estimado o aprobado,explicar_validacion_presupuesto,slot_presupuesto_reportado,float,Si,from_entity,Debe ser mayor a cero,Cual es el presupuesto estimado para esta vinculacion?
vinculacion_especial_docentes,estado_documentacion,Estado de cumplimiento documental,explicar_revision_documental,slot_estado_documentacion,text,Si,from_entity,Valores recomendados completo incompleto observado,Cual es el estado de la documentacion?
vinculacion_especial_docentes,dependencia_responsable,Area que valida o ejecuta el paso,explicar_validacion_presupuesto,slot_dependencia_responsable,text,No,custom,Debe existir en catalogo interno,Que dependencia valida este paso?
